"Question","Answer1","Answer2","Answer3","Answer4","CorrectAnswer","Time"
"What does Newton's First Law of Motion state?","An object in motion stays in motion unless acted upon by a force","Force is equal to mass times acceleration","For every action there is an equal and opposite reaction","Energy cannot be created or destroyed","An object in motion stays in motion unless acted upon by a force","30"
"A car moving at constant velocity has what net force acting on it?","Zero","Equal to its weight","Equal to its mass times acceleration","Greater than its weight","Zero","20"
"If you apply the same force to a car and a bicycle, which will accelerate more?","The bicycle","The car","They accelerate equally","It depends on friction","The bicycle","25"
"What is the SI unit of force?","Newton (N)","Joule (J)","Watt (W)","Kilogram (kg)","Newton (N)","15"
"Which Newton's Law explains why you feel pushed back in your seat during takeoff?","First Law","Second Law","Third Law","Law of Universal Gravitation","Second Law","25"
"Two ice skaters push off each other. What can be said about their forces?","They are equal in magnitude and opposite in direction","They are equal in magnitude and same direction","The heavier one experiences more force","They depend on their speeds","They are equal in magnitude and opposite in direction","30"
"A 2 kg object accelerates at 5 m/s². What is the net force on it?","10 N","2.5 N","7 N","0.4 N","10 N","20"
"What happens to acceleration when force increases while mass stays constant?","Acceleration increases","Acceleration decreases","Acceleration stays the same","Acceleration becomes negative","Acceleration increases","20"
"Why does a passenger lurch forward when a car suddenly stops?","Newton's First Law - the passenger tends to stay in motion","Newton's Second Law - the passenger has mass","Newton's Third Law - reaction to the car stopping","Gravity pulls the passenger forward","Newton's First Law - the passenger tends to stay in motion","30"
"If you push on a wall, the wall pushes back on you with an equal force. Which law explains this?","Newton's First Law","Newton's Second Law","Newton's Third Law","Law of Conservation of Energy","Newton's Third Law","20"
